Journal Name 	ISSN	eISSN
Journal of Personality and Social Psychology 	0022-3514	1939-1315
Journal of Research in Personality	0092-6566	1095-7251
Journal of Personality 	0022-3506	1467-6494
European Journal of Personality	0890-2070	1099-0984
Personality and Individual Differences 	0191-8869	1873-3549
Personality and Social Psychology Bulletin	0146-1672	1552-7433
Personality and Social Psychology Review 	1088-8683	1532-7957
Social Psychological and Personality Science 	1948-5506	1948-5514
Journal of Personality Assessment	0022-3891	1532-7752
Psychological Assessment 	1040-3590	1939-134X
Assessment 	1073-1911	1552-3489
Psychological Inquiry 	1047-840X	1532-7965
Psychological Bulletin	0033-2909	1939-1455
Psychological Review 	0033-295X	1939-1471
American Psychologist 	0003-066X	1935-990X
